Kmeans Type, data clusters, k clusters, Points Used 20/80, Points Used Post 20/80, 20/80 Test Correct, Post 20/80 Correct, 20/80 Train Adjusted Rand Score, 20/80 Train Calinski Score, 20/80 Test Adjusted Rand Score, 20/80 Test Calinski Score
hard, 2, 2, 25, 500, 1.0, 0.998, 1.0, 46.92731520181796, 1.0, 46.92731520181796
soft, 2, 2, 25, 500, 1.0, 0.998, 1.0, 46.92731520181796, 1.0, 46.92731520181796
hard, 2, 2, 25, 500, 1.0, 0.998, 1.0, 57.144892794060766, 1.0, 57.144892794060766
soft, 2, 2, 25, 500, 1.0, 0.998, 1.0, 57.144892794060766, 1.0, 57.144892794060766
hard, 2, 2, 25, 500, 1.0, 0.998, 1.0, 50.17810698905786, 1.0, 50.17810698905786
soft, 2, 2, 25, 500, 1.0, 0.998, 1.0, 50.17810698905786, 1.0, 50.17810698905786
hard, 2, 2, 25, 500, 1.0, 0.998, 1.0, 56.414172327981376, 1.0, 56.414172327981376
soft, 2, 2, 25, 500, 1.0, 0.996, 1.0, 56.414172327981376, 1.0, 56.414172327981376
hard, 2, 2, 25, 500, 1.0, 0.998, 1.0, 56.9459750287701, 1.0, 56.9459750287701
soft, 2, 2, 25, 500, 1.0, 0.998, 1.0, 56.9459750287701, 1.0, 56.9459750287701
hard, 2, 3, 25, 500, N/A, N/A, 0.5406499493984033, 37.312557377083905, 1.0, 37.312557377083905
soft, 2, 3, 25, 500, N/A, N/A, 0.5293322824006306, 36.85505761174888, 1.0, 36.85505761174888
hard, 2, 3, 25, 500, N/A, N/A, 0.7432432432432432, 40.631714497565056, 0.5454545454545454, 40.631714497565056
soft, 2, 3, 25, 500, N/A, N/A, 0.6030491247882551, 39.362959122426126, 0.5454545454545454, 39.362959122426126
hard, 2, 3, 25, 500, N/A, N/A, 0.6372824256035935, 38.171713128842335, 0.4444444444444444, 38.171713128842335
soft, 2, 3, 25, 500, N/A, N/A, 0.6372824256035935, 38.171713128842335, 0.4444444444444444, 38.171713128842335
hard, 2, 3, 25, 500, N/A, N/A, 0.5721202567278459, 48.201433231107124, 0.782608695652174, 48.201433231107124
soft, 2, 3, 25, 500, N/A, N/A, 0.5398220119409711, 46.968242703724094, 1.0, 46.968242703724094
hard, 2, 3, 25, 500, N/A, N/A, 0.6030491247882551, 42.963806057611805, 0.5454545454545454, 42.963806057611805
soft, 2, 3, 25, 500, N/A, N/A, 0.6030491247882551, 42.963806057611805, 0.5454545454545454, 42.963806057611805
hard, 2, 4, 25, 500, N/A, N/A, 0.3762028755802106, 33.071366421153385, 0.5454545454545454, 33.071366421153385
soft, 2, 4, 25, 500, N/A, N/A, 0.4512402310567448, 32.9484348442459, 1.0, 32.9484348442459
hard, 2, 4, 25, 500, N/A, N/A, 0.5681818181818182, 37.70628827463134, 0.2857142857142857, 37.70628827463134
soft, 2, 4, 25, 500, N/A, N/A, 0.5128205128205128, 38.476046035110954, 0.2857142857142857, 38.476046035110954
hard, 2, 4, 25, 500, N/A, N/A, 0.37450334884776926, 37.72370767522511, 0.4444444444444444, 37.72370767522511
soft, 2, 4, 25, 500, N/A, N/A, 0.36400771587427666, 36.20034283879737, 0.28571428571428575, 36.20034283879737
