Kmeans Type, K Clusters (Data clusters is 4), Points Used 20/80, Points Used Post 20/80, 20/80 Test Correct, Post 20/80 Correct, 20/80 Train Adjusted Rand Score, 20/80 Train Calinski Score, 20/80 Test Adjusted Rand Score, 20/80 Test Calinski Score
soft, 4, 325, 500, 0.6435643564356436, 0.6605019815059445, 0.7388950509656315, 2051.8428570731226, 0.6951822678146181, 2051.8428570731226
hard, 4, 350, 500, 1.0, 1.0, 1.0, 34356.53941621793, 1.0, 34356.53941621793
soft, 4, 350, 500, 0.6666666666666666, 0.6596306068601583, 0.7309849021987155, 2177.143739015869, 0.7075199592051375, 2177.143739015869
hard, 4, 350, 500, 1.0, 1.0, 1.0, 33119.59316050494, 1.0, 33119.59316050494
soft, 4, 350, 500, 0.6730769230769231, 0.6596306068601583, 0.7304080953178517, 2134.7163001103504, 0.7254995567073587, 2134.7163001103504
hard, 4, 350, 500, 1.0, 1.0, 1.0, 31775.243047167434, 1.0, 31775.243047167434
soft, 4, 350, 500, 0.660377358490566, 0.6596306068601583, 0.7398554020514845, 2174.149971595907, 0.710593892987207, 2174.149971595907
hard, 4, 350, 500, 1.0, 1.0, 1.0, 33835.54265582674, 1.0, 33835.54265582674
soft, 4, 350, 500, 0.6481481481481481, 0.6596306068601583, 0.7408152384645211, 2249.9400749764136, 0.6726684636118598, 2249.9400749764136
hard, 4, 350, 500, 1.0, 1.0, 1.0, 31519.87196146699, 1.0, 31519.87196146699
soft, 4, 350, 500, 0.7, 0.6596306068601583, 0.7126930797503029, 2050.407693185444, 0.7862516595368049, 2050.407693185444
hard, 4, 375, 500, 1.0, 1.0, 1.0, 36029.14504253846, 1.0, 36029.14504253846
soft, 4, 375, 500, 0.6696428571428571, 0.6578947368421053, 0.7394303559153511, 2365.265456621818, 0.7236704649216138, 2365.265456621818
hard, 4, 375, 500, 1.0, 1.0, 1.0, 34650.68436595156, 1.0, 34650.68436595156
soft, 4, 375, 500, 0.6944444444444444, 0.6578947368421053, 0.7239711130321487, 2234.454768667132, 0.7699624893788988, 2234.454768667132
hard, 4, 375, 500, 1.0, 1.0, 1.0, 36649.23927852234, 1.0, 36649.23927852234
soft, 4, 375, 500, 0.6521739130434783, 0.6578947368421053, 0.7459293790176276, 2429.2564058482144, 0.6775055025678649, 2429.2564058482144
hard, 4, 375, 500, 1.0, 1.0, 1.0, 34919.92066129494, 1.0, 34919.92066129494
soft, 4, 375, 500, 0.7009345794392523, 0.6578947368421053, 0.7190060897676867, 2260.3715804033077, 0.7890434636482577, 2260.3715804033077
hard, 4, 375, 500, 1.0, 1.0, 1.0, 34980.254413469775, 1.0, 34980.254413469775
soft, 4, 375, 500, 0.7009345794392523, 0.6578947368421053, 0.7193248499974193, 2241.1016385413877, 0.8035570417763634, 2241.1016385413877
hard, 4, 400, 500, 1.0, 1.0, 1.0, 38014.09982207712, 1.0, 38014.09982207712
soft, 4, 400, 500, 0.6956521739130435, 0.6605019815059445, 0.7228660261553638, 2364.0501841884397, 0.7793315608474599, 2364.0501841884397
hard, 4, 400, 500, 1.0, 1.0, 1.0, 36133.55721415569, 1.0, 36133.55721415569
soft, 4, 400, 500, 0.7692307692307693, 0.6605019815059445, 0.6905216232119977, 2126.813786765004, 0.894287184765826, 2126.813786765004
hard, 4, 400, 500, 1.0, 1.0, 1.0, 40345.64358954895, 1.0, 40345.64358954895
soft, 4, 400, 500, 0.6837606837606838, 0.6605019815059445, 0.7287812116760591, 2455.3238625402937, 0.7456259935004884, 2455.3238625402937
hard, 4, 400, 500, 1.0, 1.0, 1.0, 36939.96277722445, 1.0, 36939.96277722445
soft, 4, 400, 500, 0.6956521739130435, 0.6605019815059445, 0.7229670214917835, 2441.942104395236, 0.7798659268367689, 2441.942104395236
hard, 4, 400, 500, 1.0, 1.0, 1.0, 38687.53194774371, 1.0, 38687.53194774371
soft, 4, 400, 500, 0.6611570247933884, 0.6605019815059445, 0.740160955084057, 2606.9050636600473, 0.738450924758254, 2606.9050636600473
hard, 4, 425, 500, 1.0, 1.0, 1.0, 42086.54433350345, 1.0, 42086.54433350345
soft, 4, 425, 500, 0.7083333333333334, 0.6605019815059445, 0.709641976581584, 2506.029746301063, 0.8162465830167025, 2506.029746301063
hard, 4, 425, 500, 1.0, 1.0, 1.0, 42626.50787524998, 1.0, 42626.50787524998
soft, 4, 425, 500, 0.6692913385826772, 0.6605019815059445, 0.7303026820591932, 2657.1848782547863, 0.7207009857612268, 2657.1848782547863
hard, 4, 425, 500, 1.0, 1.0, 1.0, 40696.70229227217, 1.0, 40696.70229227217
soft, 4, 425, 500, 0.6640625, 0.6605019815059445, 0.7345611124896212, 2669.5925517349606, 0.7011347291034042, 2669.5925517349606
hard, 4, 425, 500, 1.0, 1.0, 1.0, 40572.71759884062, 1.0, 40572.71759884062
soft, 4, 425, 500, 0.6692913385826772, 0.6605019815059445, 0.7299579359099296, 2712.508397649788, 0.7309822538713688, 2712.508397649788
hard, 4, 425, 500, 1.0, 1.0, 1.0, 42196.187869366615, 1.0, 42196.187869366615
soft, 4, 425, 500, 0.6296296296296297, 0.6605019815059445, 0.753015367185459, 2860.502060170325, 0.6447989215906538, 2860.502060170325
hard, 4, 450, 500, 1.0, 1.0, 1.0, 43491.730496241165, 1.0, 43491.730496241165
soft, 4, 450, 500, 0.6923076923076923, 0.657030223390276, 0.7273372277422597, 2734.5623235438293, 0.7687350997103789, 2734.5623235438293
hard, 4, 450, 500, 1.0, 1.0, 1.0, 42929.82465765572, 1.0, 42929.82465765572
soft, 4, 450, 500, 0.6766917293233082, 0.657030223390276, 0.7340189159402176, 2825.420468313536, 0.736242504483839, 2825.420468313536
hard, 4, 450, 500, 1.0, 1.0, 1.0, 44670.20588577386, 1.0, 44670.20588577386
soft, 4, 450, 500, 0.6716417910447762, 0.657030223390276, 0.7350652412557004, 2866.5673462178775, 0.7244337774115874, 2866.5673462178775
hard, 4, 450, 500, 1.0, 1.0, 1.0, 43270.29793420693, 1.0, 43270.29793420693
soft, 4, 450, 500, 0.6293706293706294, 0.657030223390276, 0.7591027314467496, 3130.219608230282, 0.66203427998293, 3130.219608230282
hard, 4, 450, 500, 1.0, 1.0, 1.0, 42977.483079649755, 1.0, 42977.483079649755
soft, 4, 450, 500, 0.6923076923076923, 0.657030223390276, 0.7236913129888795, 2781.7818346567033, 0.7938999589634029, 2781.7818346567033
hard, 4, 475, 500, 1.0, 1.0, 1.0, 47217.43925106577, 1.0, 47217.43925106577
soft, 4, 475, 500, 0.6737588652482269, 0.6578947368421053, 0.7337475940290477, 2985.687354964113, 0.7289180556273507, 2985.687354964113
hard, 4, 475, 500, 1.0, 1.0, 1.0, 46891.47130846003, 1.0, 46891.47130846003
soft, 4, 475, 500, 0.6551724137931034, 0.6578947368421053, 0.7443458730855902, 3081.603717911268, 0.6857173152369844, 3081.603717911268
hard, 4, 475, 500, 1.0, 1.0, 1.0, 45282.73759803858, 1.0, 45282.73759803858
soft, 4, 475, 500, 0.6506849315068494, 0.6578947368421053, 0.7467587491950114, 3122.7163774769087, 0.6744264552979462, 3122.7163774769087
hard, 4, 475, 500, 1.0, 1.0, 1.0, 42242.045194464954, 1.0, 42242.045194464954
soft, 4, 475, 500, 0.6785714285714286, 0.6578947368421053, 0.7310038119442049, 2950.1394934888854, 0.7377924627048683, 2950.1394934888854
hard, 4, 475, 500, 1.0, 1.0, 1.0, 45535.7152621353, 1.0, 45535.7152621353
soft, 4, 475, 500, 0.6597222222222222, 0.6578947368421053, 0.7411553054713353, 3075.714311305489, 0.7090632615505332, 3075.714311305489
hard, 4, 500, 500, 1.0, 1.0, 1.0, 48307.93467997895, 1.0, 48307.93467997895
soft, 4, 500, 500, 0.6493506493506493, 0.657030223390276, 0.7449457286035199, 3230.288068516197, 0.6714958042084785, 3230.288068516197
hard, 4, 500, 500, 1.0, 1.0, 1.0, 45861.90857688352, 1.0, 45861.90857688352
soft, 4, 500, 500, 0.6802721088435374, 0.657030223390276, 0.7282131635594361, 3045.4152605736235, 0.7420072185859042, 3045.4152605736235
hard, 4, 500, 500, 1.0, 1.0, 1.0, 48954.68224598934, 1.0, 48954.68224598934
soft, 4, 500, 500, 0.6896551724137931, 0.657030223390276, 0.7226327248908827, 3072.0676806848564, 0.769149055609773, 3072.0676806848564
hard, 4, 500, 500, 1.0, 1.0, 1.0, 45078.23386433776, 1.0, 45078.23386433776
soft, 4, 500, 500, 0.6756756756756757, 0.657030223390276, 0.7299799424267414, 3118.0005265844675, 0.7360728438950849, 3118.0005265844675
hard, 4, 500, 500, 1.0, 1.0, 1.0, 44802.97205922081, 1.0, 44802.97205922081
soft, 4, 500, 500, 0.6535947712418301, 0.657030223390276, 0.7425906485272225, 3235.2467105226156, 0.6801369770701137, 3235.2467105226156
